prompt_id,prompt_uid,image_path,prompt_status,image_status,qc_status,intended_score_band,intended_coarse_class,intended_representative_score,reviewed_score_band,reviewed_coarse_class,final_score_band,final_coarse_class,training_score_band,training_coarse_class,training_representative_score,training_label_source,prompt_title,prompt_model,band_spec_file,qc_notes,damage_profile_primary,damage_profile_secondary,damage_location_primary,box_form_factor,box_pattern,label_presence,tape_profile,background_context,camera_angle,lighting_style,preprocessing_profile
32,prompt_393414ebb66040e5,images/img_7f46174bb2b243d1.png,approved,generated,accepted_relabel,46-55,moderate,50,36-45,moderate,36-45,moderate,36-45,moderate,40,final_relabel,Moderate corner split with small stain,gpt-5.4-mini,46-55-moderate-mid.md,,clear_corner_split,small_stain_patch,front_bottom_right_corner,tall_rectangular,plain_brown,no_visible_label,reinforced_edge_tape,plain_studio_floor,slightly_top_down,backlit_but_readable,rgb_resize_384
33,prompt_1cc2e0e2487c4a2b,images/img_d2323006250a4243.png,approved,generated,accepted_as_labeled,46-55,moderate,50,46-55,moderate,46-55,moderate,46-55,moderate,50,intended_reviewed_match,Moderate multi-edge damage at front corner,gpt-5.4-mini,46-55-moderate-mid.md,,multiple_damaged_edges,minor_tape_peel,front_top_left_corner,long_rectangular,subtle_printed_markings,multiple_small_stickers,cross_tape,van_cargo_area,front_eye_level,harsh_side_shadow,rgb_resize_384
34,prompt_6420fc0c233c4180,images/img_ff4b341591124834.png,approved,generated,accepted_as_labeled,56-65,moderate,60,56-65,moderate,56-65,moderate,56-65,moderate,60,intended_reviewed_match,Near-severe mailer edge cavity,gpt-5.4-mini,56-65-moderate-high.md,,small_cavity_with_deformation,minor_tape_peel,top_flap_edge,flat_mailer_box,plain_brown,multiple_small_stickers,reinforced_edge_tape,van_cargo_area,three_quarter_right,backlit_but_readable,rgb_resize_384
35,prompt_02f8a9841c964768,images/img_fb40d7511fa7404b.png,approved,generated,accepted_as_labeled,56-65,moderate,60,56-65,moderate,56-65,moderate,56-65,moderate,60,intended_reviewed_match,Serious front-face puncture and denting,gpt-5.4-mini,56-65-moderate-high.md,,small_cavity_with_deformation,extra_small_puncture,front_face_center,long_rectangular,recycled_patchwork_cardboard,barcode_label_only,single_center_tape,outdoor_doorstep,low_angle_front,mixed_indoor,rgb_resize_384
36,prompt_b9c1264fec434db4,images/img_79d7c4c9d5d2408f.png,approved,generated,accepted_as_labeled,66-75,severe,70,66-75,severe,66-75,severe,66-75,severe,70,intended_reviewed_match,Severe Corner Crush on Warehouse Box,gpt-5.4-mini,66-75-severe-low.md,,strong_side_crushing,none,front_top_right_corner,small_cube,tape_heavy_plain,no_visible_label,cross_tape,warehouse_floor,three_quarter_right,soft_even,rgb_resize_384
37,prompt_71ca041dc7aa4cee,images/img_dc3c509cca704f4e.png,approved,generated,accepted_as_labeled,66-75,severe,70,66-75,severe,66-75,severe,66-75,severe,70,intended_reviewed_match,Torn Corner Mailer With Limited Extra Puncture,gpt-5.4-mini,66-75-severe-low.md,,large_corner_opening,extra_small_puncture,front_top_right_corner,flat_mailer_box,plain_brown,small_shipping_label,old_peeling_tape,outdoor_doorstep,three_quarter_right,soft_even,rgb_resize_384
38,prompt_67cb6ebef3dd4f0d,images/img_a6b07b9ebbbd4ff6.png,approved,generated,accepted_as_labeled,76-85,severe,80,76-85,severe,76-85,severe,76-85,severe,80,intended_reviewed_match,Collapsed Corner on Warehouse Floor,gpt-5.4-mini,76-85-severe-mid.md,,major_side_collapse,none,front_top_right_corner,long_rectangular,recycled_patchwork_cardboard,no_visible_label,reinforced_edge_tape,warehouse_floor,low_angle_front,mixed_indoor,rgb_resize_384
39,prompt_c31f9a424b714c9d,images/img_5279981c395245ac.png,approved,generated,accepted_as_labeled,76-85,severe,80,76-85,severe,76-85,severe,76-85,severe,80,intended_reviewed_match,Crushed Front Face on Sorting Table,gpt-5.4-mini,76-85-severe-mid.md,,heavy_crushing_with_split_seams,none,front_face_center,long_rectangular,subtle_printed_markings,small_shipping_label,old_peeling_tape,delivery_sorting_table,slightly_top_down,cool_fluorescent,rgb_resize_384
40,prompt_272820724fde4055,images/img_e7a157c203394b94.png,approved,generated,accepted_as_labeled,86-100,severe,93,86-100,severe,86-100,severe,86-100,severe,93,intended_reviewed_match,Extremely collapsed front-center box at packing station,gpt-5.4-mini,86-100-severe-high.md,,extreme_collapse,none,front_face_center,medium_standard,subtle_printed_markings,barcode_label_only,single_center_tape,packing_station,three_quarter_right,cool_fluorescent,rgb_resize_384
41,prompt_f860e5f3ebd94f47,images/img_a625ee04c07148b1.png,approved,generated,accepted_as_labeled,86-100,severe,93,86-100,severe,86-100,severe,86-100,severe,93,intended_reviewed_match,Severe multi-side failure at front top-right corner,gpt-5.4-mini,86-100-severe-high.md,,severe_multi_side_failure,none,front_top_right_corner,medium_standard,shipping_label_patch,barcode_label_only,minimal_tape,plain_studio_floor,low_angle_front,cool_fluorescent,rgb_resize_384
42,prompt_4210c04913a6454a,images/img_4dbc622186214b5c.png,approved,generated,accepted_as_labeled,0-10,intact,5,0-10,intact,0-10,intact,0-10,intact,5,intended_reviewed_match,Intact mailer with negligible corner wear,gpt-5.4-mini,00-10-intact.md,,visually_intact,tiny_handling_scuffs,front_top_left_corner,flat_mailer_box,shipping_label_patch,multiple_small_stickers,old_peeling_tape,plain_studio_floor,front_eye_level,mixed_indoor,rgb_resize_384
43,prompt_b7a7ac1ba38c4fe9,images/img_e845b1d04728431b.png,approved,generated,accepted_as_labeled,0-10,intact,5,0-10,intact,0-10,intact,0-10,intact,5,intended_reviewed_match,Intact small cube box in van cargo area,gpt-5.4-mini,00-10-intact.md,,visually_intact,none,top_flap_edge,small_cube,shipping_label_patch,small_shipping_label,single_center_tape,van_cargo_area,three_quarter_left,soft_even,rgb_resize_384
44,prompt_249be28a548448ee,images/img_16f12509bcc1424b.png,approved,generated,accepted_as_labeled,11-20,minor,15,11-20,minor,11-20,minor,11-20,minor,15,intended_reviewed_match,Minor dent at front top-right,gpt-5.4-mini,11-20-minor-low.md,,small_face_dent,none,front_top_right_corner,tall_rectangular,recycled_patchwork_cardboard,small_shipping_label,cross_tape,plain_studio_floor,low_angle_front,harsh_side_shadow,rgb_resize_384
45,prompt_a6f8e51064264a92,images/img_828028bebfc645ac.png,approved,generated,accepted_as_labeled,11-20,minor,15,11-20,minor,11-20,minor,11-20,minor,15,intended_reviewed_match,Centered light dent with subtle scuffs,gpt-5.4-mini,11-20-minor-low.md,,small_face_dent,tiny_handling_scuffs,front_face_center,tall_rectangular,shipping_label_patch,multiple_small_stickers,single_center_tape,delivery_sorting_table,slightly_top_down,cool_fluorescent,rgb_resize_384
46,prompt_dd10fc9930fd4413,images/img_13d2ba5c25c04397.png,approved,generated,accepted_as_labeled,21-30,minor,25,21-30,minor,21-30,minor,21-30,minor,25,intended_reviewed_match,"Dim Sorting Table, Minor Corner Wear",gpt-5.4-mini,21-30-minor-mid.md,,edge_wear_cluster,minor_tape_peel,front_top_left_corner,tall_rectangular,subtle_printed_markings,small_shipping_label,old_peeling_tape,delivery_sorting_table,low_angle_front,dim_ambient,rgb_resize_384
47,prompt_0a4244423b894842,images/img_0998584f7f8643f6.png,approved,generated,accepted_relabel,21-30,minor,25,11-20,minor,11-20,minor,11-20,minor,15,final_relabel,Plain Brown Cube with Side Wear,gpt-5.4-mini,21-30-minor-mid.md,,edge_wear_cluster,none,left_side_panel,small_cube,plain_brown,no_visible_label,minimal_tape,delivery_sorting_table,slightly_top_down,dim_ambient,rgb_resize_384
48,prompt_a8ebdad6d9c54cba,images/img_122705c7854c4d3f.png,approved,generated,accepted_relabel,31-35,minor,33,21-30,minor,21-30,minor,21-30,minor,25,final_relabel,Top-left corner bend with lifted tape,gpt-5.4-mini,31-35-minor-high.md,,bent_flap_or_edge,minor_tape_peel,front_top_left_corner,long_rectangular,tape_heavy_plain,small_shipping_label,reinforced_edge_tape,delivery_sorting_table,three_quarter_left,soft_even,rgb_resize_384
49,prompt_32caac92bb4945d1,images/img_b704d8b0152e412f.png,approved,generated,accepted_relabel,31-35,minor,33,21-30,minor,21-30,minor,21-30,minor,25,final_relabel,Bottom-left corner partial tear with small stain,gpt-5.4-mini,31-35-minor-high.md,,short_partial_tear,small_stain_patch,front_bottom_left_corner,medium_standard,shipping_label_patch,multiple_small_stickers,cross_tape,warehouse_floor,front_eye_level,dim_ambient,rgb_resize_384
50,prompt_60d129f7ab88404c,images/img_779590d07cc647ad.png,approved,generated,accepted_as_labeled,36-45,moderate,40,36-45,moderate,36-45,moderate,36-45,moderate,40,intended_reviewed_match,Moderate low frayed corner with center dent,gpt-5.4-mini,36-45-moderate-low.md,,frayed_corner_plus_face_dent,light_crease_cluster,front_face_center,long_rectangular,shipping_label_patch,multiple_small_stickers,old_peeling_tape,warehouse_floor,low_angle_front,backlit_but_readable,rgb_resize_384
51,prompt_67b01748550b4226,images/img_c90be75f77f84542.png,approved,generated,accepted_as_labeled,36-45,moderate,40,36-45,moderate,36-45,moderate,36-45,moderate,40,intended_reviewed_match,Moderate low edge split on small cube box,gpt-5.4-mini,36-45-moderate-low.md,,edge_split_without_cavity,light_crease_cluster,front_face_center,small_cube,plain_brown,barcode_label_only,single_center_tape,plain_studio_floor,slightly_top_down,harsh_side_shadow,rgb_resize_384
52,prompt_97c745b7d4d344c0,images/img_031216452e774ef0.png,approved,generated,accepted_relabel,46-55,moderate,50,36-45,moderate,36-45,moderate,36-45,moderate,40,final_relabel,Corner Split on Porch Box,gpt-5.4-mini,46-55-moderate-mid.md,,clear_corner_split,secondary_corner_softening,front_face_center,long_rectangular,tape_heavy_plain,no_visible_label,cross_tape,outdoor_doorstep,three_quarter_left,harsh_side_shadow,rgb_resize_384
53,prompt_f9b5316e88224222,images/img_553a88d837864214.png,approved,generated,accepted_relabel,46-55,moderate,50,36-45,moderate,36-45,moderate,36-45,moderate,40,final_relabel,Compressed Corner on Cargo Box,gpt-5.4-mini,46-55-moderate-mid.md,,partial_side_compression,none,front_top_right_corner,medium_standard,recycled_patchwork_cardboard,barcode_label_only,old_peeling_tape,van_cargo_area,slightly_top_down,cool_fluorescent,rgb_resize_384
54,prompt_e7a77126d0b34854,images/img_f86cc5d7484e4ca8.png,approved,generated,accepted_as_labeled,56-65,moderate,60,56-65,moderate,56-65,moderate,56-65,moderate,60,intended_reviewed_match,Near-severe corner split on warehouse floor,gpt-5.4-mini,56-65-moderate-high.md,,narrow_opening_from_edge_split,additional_crushed_edge,front_bottom_right_corner,small_cube,shipping_label_patch,small_shipping_label,cross_tape,warehouse_floor,three_quarter_left,dim_ambient,rgb_resize_384
55,prompt_f0e8b31e8cd04be0,images/img_49a32435fef44272.png,approved,generated,accepted_as_labeled,56-65,moderate,60,56-65,moderate,56-65,moderate,56-65,moderate,60,intended_reviewed_match,Flat mailer with side-panel split and nick,gpt-5.4-mini,56-65-moderate-high.md,,narrow_opening_from_edge_split,extra_small_puncture,right_side_panel,flat_mailer_box,shipping_label_patch,no_visible_label,single_center_tape,van_cargo_area,slightly_top_down,harsh_side_shadow,rgb_resize_384
56,prompt_a3e2939ebed04c27,images/img_88d2819820fc4316.png,approved,generated,accepted_as_labeled,66-75,severe,70,66-75,severe,66-75,severe,66-75,severe,70,intended_reviewed_match,Right-side seam tear at packing station,gpt-5.4-mini,66-75-severe-low.md,,broad_edge_tear,extra_small_puncture,right_side_panel,long_rectangular,shipping_label_patch,barcode_label_only,single_center_tape,packing_station,low_angle_front,mixed_indoor,rgb_resize_384
57,prompt_8d3c981d83ac4bb7,images/img_d8512c8559b5423b.png,approved,generated,accepted_as_labeled,66-75,severe,70,66-75,severe,66-75,severe,66-75,severe,70,intended_reviewed_match,Crushed front face in studio lighting,gpt-5.4-mini,66-75-severe-low.md,,strong_side_crushing,additional_crushed_edge,front_face_center,tall_rectangular,recycled_patchwork_cardboard,barcode_label_only,reinforced_edge_tape,plain_studio_floor,slightly_top_down,harsh_side_shadow,rgb_resize_384
58,prompt_4ad874eb28224956,images/img_8750fac0391c449b.png,approved,generated,accepted_as_labeled,76-85,severe,80,76-85,severe,76-85,severe,76-85,severe,80,intended_reviewed_match,Severe collapsed mailer on warehouse floor,gpt-5.4-mini,76-85-severe-mid.md,,multiple_collapsed_corners,additional_crushed_edge,front_bottom_right_corner,flat_mailer_box,subtle_printed_markings,multiple_small_stickers,reinforced_edge_tape,warehouse_floor,slightly_top_down,dim_ambient,rgb_resize_384
59,prompt_356106b624c647f3,images/img_3028f260a18047a0.png,approved,generated,accepted_as_labeled,76-85,severe,80,76-85,severe,76-85,severe,76-85,severe,80,intended_reviewed_match,Severe corner collapse at the doorstep,gpt-5.4-mini,76-85-severe-mid.md,,multiple_collapsed_corners,additional_crushed_edge,front_bottom_right_corner,flat_mailer_box,recycled_patchwork_cardboard,small_shipping_label,minimal_tape,outdoor_doorstep,three_quarter_left,backlit_but_readable,rgb_resize_384
60,prompt_4888d09586ba4aaf,images/img_a8bb4cf176694ff1.png,approved,generated,accepted_as_labeled,86-100,severe,93,86-100,severe,86-100,severe,86-100,severe,93,intended_reviewed_match,Severely flattened right-side panel at packing station,gpt-5.4-mini,86-100-severe-high.md,,partially_flattened_box,broad_surface_grime,right_side_panel,tall_rectangular,recycled_patchwork_cardboard,multiple_small_stickers,cross_tape,packing_station,three_quarter_left,harsh_side_shadow,rgb_resize_384
61,prompt_14379f036e1e4b8c,images/img_2525b02247964bac.png,approved,generated,accepted_as_labeled,86-100,severe,93,86-100,severe,86-100,severe,86-100,severe,93,intended_reviewed_match,Extreme multi-side failure on left panel in van cargo area,gpt-5.4-mini,86-100-severe-high.md,,severe_multi_side_failure,broad_surface_grime,left_side_panel,tall_rectangular,plain_brown,small_shipping_label,minimal_tape,van_cargo_area,front_eye_level,dim_ambient,rgb_resize_384
63,prompt_99b923ae82da4d51,images/img_3e80270520344dbf.png,approved,generated,accepted_as_labeled,0-10,intact,5,0-10,intact,0-10,intact,0-10,intact,5,intended_reviewed_match,"Small cube box on studio floor, fully intact",gpt-5.4-mini,00-10-intact.md,,visually_intact,none,front_top_left_corner,small_cube,tape_heavy_plain,barcode_label_only,cross_tape,plain_studio_floor,slightly_top_down,cool_fluorescent,rgb_resize_384
65,prompt_ef05c3c1421d4569,images/img_26661feecad748eb.png,approved,generated,accepted_as_labeled,11-20,minor,15,11-20,minor,11-20,minor,11-20,minor,15,intended_reviewed_match,Light side-panel crease on a plain brown box,gpt-5.4-mini,11-20-minor-low.md,,light_edge_crease,light_crease_cluster,left_side_panel,medium_standard,plain_brown,multiple_small_stickers,single_center_tape,packing_station,low_angle_front,mixed_indoor,rgb_resize_384
66,prompt_192f59818d344481,images/img_a5a0bf27545d4625.png,approved,generated,accepted_relabel,21-30,minor,25,11-20,minor,11-20,minor,11-20,minor,15,final_relabel,Low-angle corner crease with slight tape lift,gpt-5.4-mini,21-30-minor-mid.md,,clear_corner_crease,minor_tape_peel,front_bottom_left_corner,flat_mailer_box,subtle_printed_markings,barcode_label_only,reinforced_edge_tape,plain_studio_floor,low_angle_front,backlit_but_readable,rgb_resize_384
67,prompt_515da1e31f8d4caa,images/img_b0529fa0a9c04bf3.png,approved,generated,accepted_as_labeled,21-30,minor,25,21-30,minor,21-30,minor,21-30,minor,25,intended_reviewed_match,Right-side dent with short crease in van cargo lighting,gpt-5.4-mini,21-30-minor-mid.md,,face_dent_with_crease,tiny_handling_scuffs,right_side_panel,flat_mailer_box,shipping_label_patch,multiple_small_stickers,single_center_tape,van_cargo_area,three_quarter_right,cool_fluorescent,rgb_resize_384
69,prompt_378ff0e51d704750,images/img_9445d28e1d95451d.png,approved,generated,accepted_as_labeled,31-35,minor,33,31-35,minor,31-35,minor,31-35,minor,33,intended_reviewed_match,Tall box with localized side dent,gpt-5.4-mini,31-35-minor-high.md,,pronounced_face_dent,none,right_side_panel,tall_rectangular,recycled_patchwork_cardboard,no_visible_label,minimal_tape,plain_studio_floor,slightly_top_down,cool_fluorescent,rgb_resize_384
70,prompt_0ea2fba95fec4a44,images/img_96eb9b5fcfda437a.png,approved,generated,accepted_as_labeled,36-45,moderate,40,36-45,moderate,36-45,moderate,36-45,moderate,40,intended_reviewed_match,Doorstep puncture with softened corner,gpt-5.4-mini,36-45-moderate-low.md,,single_small_puncture_with_denting,secondary_corner_softening,front_bottom_right_corner,tall_rectangular,subtle_printed_markings,no_visible_label,cross_tape,outdoor_doorstep,three_quarter_right,dim_ambient,rgb_resize_384
72,prompt_c37547b42ccd4333,images/img_c7957af012e644fd.png,approved,generated,accepted_relabel,46-55,moderate,50,36-45,moderate,36-45,moderate,36-45,moderate,40,final_relabel,Left Panel Edge Damage With Tiny Puncture,gpt-5.4-mini,46-55-moderate-mid.md,,multiple_damaged_edges,extra_small_puncture,left_side_panel,tall_rectangular,tape_heavy_plain,barcode_label_only,reinforced_edge_tape,plain_studio_floor,three_quarter_right,soft_even,rgb_resize_384
74,prompt_b1f1fbe5cba440d4,images/img_e3c690c6913540f7.png,approved,generated,accepted_relabel,56-65,moderate,60,46-55,moderate,46-55,moderate,46-55,moderate,50,final_relabel,Near-severe corner damage at packing station,gpt-5.4-mini,56-65-moderate-high.md,,multiple_damaged_corners,none,front_bottom_left_corner,long_rectangular,subtle_printed_markings,barcode_label_only,cross_tape,packing_station,three_quarter_right,soft_even,rgb_resize_384
75,prompt_fdf048dbc9484359,images/img_1e381698c607466e.png,approved,generated,accepted_relabel,56-65,moderate,60,66-75,severe,66-75,severe,66-75,severe,70,final_relabel,Crushed side panel with slight tape peel,gpt-5.4-mini,56-65-moderate-high.md,Side crush reads too severe for 56-65; keep image but relabel upward.,clear_side_crush,minor_tape_peel,right_side_panel,small_cube,recycled_patchwork_cardboard,no_visible_label,old_peeling_tape,plain_studio_floor,low_angle_front,cool_fluorescent,rgb_resize_384
77,prompt_bc25800a23c7400a,images/img_edf087ef787b406a.png,approved,generated,accepted_as_labeled,66-75,severe,70,66-75,severe,66-75,severe,66-75,severe,70,intended_reviewed_match,Collapsed corner cluster in van cargo area,gpt-5.4-mini,66-75-severe-low.md,,collapsed_corner_cluster,broad_surface_grime,front_top_left_corner,medium_standard,shipping_label_patch,no_visible_label,old_peeling_tape,van_cargo_area,three_quarter_left,harsh_side_shadow,rgb_resize_384
78,prompt_68fb4adecb5542d0,images/img_a85ca65f140b4ac6.png,approved,generated,accepted_as_labeled,76-85,severe,80,76-85,severe,76-85,severe,76-85,severe,80,intended_reviewed_match,Severe right-side collapse in van cargo area,gpt-5.4-mini,76-85-severe-mid.md,,major_side_collapse,broad_surface_grime,right_side_panel,tall_rectangular,plain_brown,multiple_small_stickers,old_peeling_tape,van_cargo_area,three_quarter_right,soft_even,rgb_resize_384
79,prompt_69c554bde8234888,images/img_6c99cba9331f40cb.png,approved,generated,accepted_as_labeled,76-85,severe,80,76-85,severe,76-85,severe,76-85,severe,80,intended_reviewed_match,Severe torn opening at front top-left corner,gpt-5.4-mini,76-85-severe-mid.md,,large_torn_opening,broad_surface_grime,front_top_left_corner,tall_rectangular,plain_brown,no_visible_label,single_center_tape,plain_studio_floor,front_eye_level,cool_fluorescent,rgb_resize_384
81,prompt_5d13195645594556,images/img_bd234b387b374a16.png,approved,generated,accepted_as_labeled,86-100,severe,93,86-100,severe,86-100,severe,86-100,severe,93,intended_reviewed_match,Front-face center tear with exposed interior,gpt-5.4-mini,86-100-severe-high.md,,very_large_open_tear,none,front_face_center,flat_mailer_box,shipping_label_patch,small_shipping_label,old_peeling_tape,delivery_sorting_table,three_quarter_right,soft_even,rgb_resize_384
82,prompt_40922f20798d41da,images/img_2c879625f5e1414b.png,approved,generated,accepted_as_labeled,0-10,intact,5,0-10,intact,0-10,intact,0-10,intact,5,intended_reviewed_match,Plain long box with no visible damage,gpt-5.4-mini,00-10-intact.md,Clean intact long box; good 0-10 anchor.,visually_intact,tiny_handling_scuffs,top_flap_edge,long_rectangular,shipping_label_patch,no_visible_label,minimal_tape,delivery_sorting_table,three_quarter_right,soft_even,rgb_resize_384
83,prompt_894c986e5e594e95,images/img_e1e0ba26cd114283.png,approved,generated,accepted_as_labeled,11-20,minor,15,11-20,minor,11-20,minor,11-20,minor,15,intended_reviewed_match,Softened corner on a small cube box,gpt-5.4-mini,11-20-minor-low.md,Subtle localized softened corner; acceptable low-minor example.,light_corner_softening,none,front_bottom_right_corner,small_cube,recycled_patchwork_cardboard,no_visible_label,cross_tape,delivery_sorting_table,low_angle_front,soft_even,rgb_resize_384
84,prompt_8e30446e69c04717,images/img_0ac3af1b04c345b4.png,approved,generated,accepted_as_labeled,21-30,minor,25,21-30,minor,21-30,minor,21-30,minor,25,intended_reviewed_match,Side-panel dent with short crease,gpt-5.4-mini,21-30-minor-mid.md,Localized side dent and short crease fit minor-mid.,face_dent_with_crease,secondary_corner_softening,right_side_panel,tall_rectangular,shipping_label_patch,multiple_small_stickers,reinforced_edge_tape,plain_studio_floor,front_eye_level,cool_fluorescent,rgb_resize_384
85,prompt_793494e487b64ec3,images/img_5c46c3531ebe45ab.png,approved,generated,accepted_as_labeled,31-35,minor,33,31-35,minor,31-35,minor,31-35,minor,33,intended_reviewed_match,Top-Left Corner Bend with Small Stain,gpt-5.4-mini,31-35-minor-high.md,Bent top-left edge with small supporting damage fits high-minor.,bent_flap_or_edge,small_stain_patch,front_top_left_corner,long_rectangular,shipping_label_patch,no_visible_label,cross_tape,delivery_sorting_table,front_eye_level,soft_even,rgb_resize_384
86,prompt_9b1f9169ff9143ee,images/img_e4b36aa7a0bf4ff2.png,approved,generated,accepted_as_labeled,36-45,moderate,40,36-45,moderate,36-45,moderate,36-45,moderate,40,intended_reviewed_match,Porch box with split edge and softened corner,gpt-5.4-mini,36-45-moderate-low.md,Localized edge split without cavity fits moderate-low.,edge_split_without_cavity,secondary_corner_softening,front_bottom_right_corner,medium_standard,recycled_patchwork_cardboard,no_visible_label,old_peeling_tape,outdoor_doorstep,three_quarter_right,soft_even,rgb_resize_384
87,prompt_12e3ed9648e94eb9,images/img_38262ecc6d9147ef.png,approved,generated,accepted_as_labeled,66-75,severe,70,66-75,severe,66-75,severe,66-75,severe,70,intended_reviewed_match,Large torn-open corner on mailer box,gpt-5.4-mini,66-75-severe-low.md,Large torn-open corner with exposed interior fits severe-low.,large_corner_opening,none,front_bottom_right_corner,flat_mailer_box,recycled_patchwork_cardboard,barcode_label_only,cross_tape,van_cargo_area,front_eye_level,soft_even,rgb_resize_384
88,prompt_b6bb0fbf848d4ddb,images/img_4df89db168b248ca.png,approved,generated,accepted_relabel,76-85,severe,80,66-75,severe,66-75,severe,66-75,severe,70,final_relabel,Broken Corner Long Box,gpt-5.4-mini,76-85-severe-mid.md,Good image but not severe-mid; damage reads closer to severe-low with one main collapsed corner.,multiple_collapsed_corners,additional_crushed_edge,front_bottom_left_corner,long_rectangular,subtle_printed_markings,small_shipping_label,single_center_tape,outdoor_doorstep,low_angle_front,dim_ambient,rgb_resize_384
